subject_id,cell_id,file_name,file_path,recording_duration_s,channel,channel_units,analysis,scope,trial_index,trial_count,sampling_rate,absolute_peak_mv_mean,absolute_peak_mv_std,adp_amplitude_mean,adp_amplitude_std,ahp_duration_half_mean,ahp_duration_half_std,amplitude_mean,amplitude_std,ap_threshold_mean,ap_threshold_std,conductance_us,decay_time_90_10_mean,decay_time_90_10_std,fahp_depth_mean,fahp_depth_std,half_width_mean,half_width_std,mahp_depth_mean,mahp_depth_std,max_dvdt_mean,max_dvdt_std,mean_freq_hz,min_dvdt_mean,min_dvdt_std,module_used,overshoot_mv_mean,overshoot_mv_std,parameters,rin_error,rin_mohm,rise_time_10_90_mean,rise_time_10_90_std,rmp_drift_rate_mv_per_sweep,rmp_mv,rmp_mv_minus_sd,rmp_mv_plus_sd,rmp_per_sweep,rmp_std,spike_count,spike_indices,spike_times,spike_voltages,sweep_indices,threshold,batch_timestamp,_parameters_obj,_raw_arrays,_rmp_per_sweep_obj,_spike_indices_raw,_spike_times_raw,_spike_voltages_raw,_sweep_indices_obj
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,3,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,4,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,5,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,6,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,7,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,8,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,9,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,10,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,11,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,12,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,13,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,14,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,15,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,16,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
,,2023_04_11_0021.abf,/Users/anzalks/PycharmProjects/Synaptipy/examples/data/2023_04_11_0021.abf,0.5,IN0,mV,rin_analysis,all_trials,17,20,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,passive_properties,,,,Current amplitude and Voltage step are zero,,,,,,,,,,,,,,,,2026-06-14T14:55:27.670651,,,,,,,
